"graph_backbone","KNN","auc","lowerCI","upperCI","Set"
"GiG","KNN=50",0.989740702870995,0.985926676921488,0.993554728820502,"Train"
"GiG","KNN=50",0.867478450575639,0.836925680435592,0.898031220715686,"Test"
"GiG","KNN=50",0.908514979061527,0.87061962332831,0.946410334794743,"Held-out test"
"GiG","KNN=200",0.983784399142326,0.978717611849107,0.988851186435544,"Train"
"GiG","KNN=200",0.867559075657154,0.837451404129873,0.897666747184434,"Test"
"GiG","KNN=200",0.893993547166531,0.853299106761358,0.934687987571705,"Held-out test"
"GiG","KNN=100",0.926137864984182,0.908162690543466,0.944113039424899,"Train"
"GiG","KNN=100",0.852361840623184,0.82090198149549,0.883821699750879,"Test"
"GiG","KNN=100",0.862665091807151,0.815235517125073,0.910094666489229,"Held-out test"
